Latitude (decimal degrees):	44.852
Longitude (decimal degrees):	11.207
Elevation (m):	14
Radiation database:	PVGIS-SARAH3


Slope: 39 deg. (optimum)
Azimuth: 0 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	6.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,0.0,8.45,1.17,0.0
20230101:0110,0.0,0.0,0.0,0.0,0.0,8.2,0.76,0.0
20230101:0210,0.0,0.0,0.0,0.0,0.0,8.49,0.41,0.0
20230101:0310,0.0,0.0,0.0,0.0,0.0,8.1,0.76,0.0
20230101:0410,0.0,0.0,0.0,0.0,0.0,7.52,0.83,0.0
20230101:0510,0.0,0.0,0.0,0.0,0.0,7.28,0.83,0.0
20230101:0610,0.0,0.0,0.0,0.0,0.0,7.72,0.21,0.0
20230101:0710,0.0,0.0,3.55,0.09,1.75,6.73,1.17,0.0
20230101:0810,828.42,89.85,83.01,2.15,9.75,7.53,1.17,0.0
20230101:0910,1299.78,122.12,140.54,3.84,16.12,9.22,1.45,0.0
20230101:1010,1146.3,74.43,160.05,4.29,20.38,10.52,1.45,0.0
20230101:1110,984.12,46.53,158.38,4.18,22.11,11.95,1.38,0.0
20230101:1210,1044.24,59.2,157.96,4.2,21.11,12.6,1.24,0.0
20230101:1310,645.96,25.59,115.46,3.0,17.49,13.06,0.97,0.0
20230101:1410,787.62,75.04,93.84,2.46,11.63,13.21,0.9,0.0
20230101:1510,376.68,63.53,27.92,0.74,4.03,12.78,0.69,0.0
20230101:1610,0.0,0.0,0.0,0.0,0.0,11.95,0.62,0.0
20230101:1710,0.0,0.0,0.0,0.0,0.0,11.41,0.34,0.0
20230101:1810,0.0,0.0,0.0,0.0,0.0,10.75,0.28,0.0
20230101:1910,0.0,0.0,0.0,0.0,0.0,9.1,0.69,0.0
20230101:2010,0.0,0.0,0.0,0.0,0.0,9.14,0.48,0.0
20230101:2110,0.0,0.0,0.0,0.0,0.0,8.69,0.62,0.0
20230101:2210,0.0,0.0,0.0,0.0,0.0,8.49,0.62,0.0
20230101:2310,0.0,0.0,0.0,0.0,0.0,8.12,0.62,0.0
20230102:0010,0.0,0.0,0.0,0.0,0.0,7.9,0.55,0.0
20230102:0110,0.0,0.0,0.0,0.0,0.0,8.08,0.41,0.0
20230102:0210,0.0,0.0,0.0,0.0,0.0,8.04,0.41,0.0
20230102:0310,0.0,0.0,0.0,0.0,0.0,7.85,0.55,0.0
20230102:0410,0.0,0.0,0.0,0.0,0.0,7.62,0.55,0.0
20230102:0510,0.0,0.0,0.0,0.0,0.0,7.83,0.48,0.0
20230102:0610,0.0,0.0,0.0,0.0,0.0,7.65,0.76,0.0
20230102:0710,0.0,0.0,4.44,0.11,1.76,7.8,0.48,0.0
20230102:0810,179.1,3.44,44.95,1.14,9.76,8.14,0.48,0.0
20230102:0910,88.68,0.0,29.29,0.74,16.16,9.19,0.48,0.0
20230102:1010,179.16,0.0,48.82,1.23,20.45,10.42,0.55,0.0
20230102:1110,553.2,4.64,117.96,3.0,22.2,11.31,0.48,0.0
20230102:1210,408.48,0.0,94.97,2.39,21.21,12.04,0.48,0.0
20230102:1310,259.32,0.0,65.68,1.65,17.61,12.73,0.34,0.0
20230102:1410,139.14,0.0,40.83,1.03,11.76,12.93,0.48,0.0
20230102:1510,3.72,0.0,7.1,0.18,4.16,12.69,0.9,0.0
20230102:1610,0.0,0.0,0.0,0.0,0.0,11.59,1.59,0.0
20230102:1710,0.0,0.0,0.0,0.0,0.0,10.7,1.72,0.0
20230102:1810,0.0,0.0,0.0,0.0,0.0,9.88,1.79,0.0
20230102:1910,0.0,0.0,0.0,0.0,0.0,9.06,0.62,0.0
20230102:2010,0.0,0.0,0.0,0.0,0.0,8.35,0.97,0.0
20230102:2110,0.0,0.0,0.0,0.0,0.0,8.11,1.03,0.0
20230102:2210,0.0,0.0,0.0,0.0,0.0,8.14,0.9,0.0
20230102:2310,0.0,0.0,0.0,0.0,0.0,7.36,1.17,0.0
20230103:0010,0.0,0.0,0.0,0.0,0.0,6.86,1.31,0.0
20230103:0110,0.0,0.0,0.0,0.0,0.0,6.99,1.31,0.0
20230103:0210,0.0,0.0,0.0,0.0,0.0,7.12,1.38,0.0
20230103:0310,0.0,0.0,0.0,0.0,0.0,7.23,1.45,0.0
20230103:0410,0.0,0.0,0.0,0.0,0.0,7.45,1.45,0.0
20230103:0510,0.0,0.0,0.0,0.0,0.0,7.43,1.52,0.0
20230103:0610,0.0,0.0,0.0,0.0,0.0,7.52,1.52,0.0
20230103:0710,1.74,0.0,6.21,0.16,1.76,7.51,1.31,0.0
20230103:0810,14.58,0.0,10.65,0.27,9.79,7.87,1.31,0.0
20230103:0910,265.02,0.0,65.68,1.65,16.2,8.67,1.31,0.0
20230103:1010,158.52,0.0,44.38,1.12,20.51,9.71,1.52,0.0
20230103:1110,556.56,4.63,117.95,3.0,22.29,10.52,1.38,0.0
20230103:1210,541.44,4.7,115.32,2.93,21.32,11.21,1.38,0.0
20230103:1310,379.08,2.54,86.51,2.19,17.73,11.98,1.24,0.0
20230103:1410,531.84,36.93,81.77,2.12,11.89,12.16,1.17,0.0
20230103:1510,0.0,0.0,4.44,0.11,4.29,11.86,0.97,0.0
20230103:1610,0.0,0.0,0.0,0.0,0.0,11.05,1.03,0.0
20230103:1710,0.0,0.0,0.0,0.0,0.0,10.02,1.1,0.0
20230103:1810,0.0,0.0,0.0,0.0,0.0,9.13,1.1,0.0
20230103:1910,0.0,0.0,0.0,0.0,0.0,9.39,0.69,0.0
20230103:2010,0.0,0.0,0.0,0.0,0.0,9.67,0.28,0.0
20230103:2110,0.0,0.0,0.0,0.0,0.0,9.19,0.55,0.0
20230103:2210,0.0,0.0,0.0,0.0,0.0,8.68,0.76,0.0
20230103:2310,0.0,0.0,0.0,0.0,0.0,8.61,0.69,0.0
20230104:0010,0.0,0.0,0.0,0.0,0.0,8.43,0.55,0.0
20230104:0110,0.0,0.0,0.0,0.0,0.0,8.44,0.62,0.0
20230104:0210,0.0,0.0,0.0,0.0,0.0,8.55,0.69,0.0
20230104:0310,0.0,0.0,0.0,0.0,0.0,8.54,0.55,0.0
20230104:0410,0.0,0.0,0.0,0.0,0.0,8.61,0.62,0.0
20230104:0510,0.0,0.0,0.0,0.0,0.0,8.43,0.76,0.0
20230104:0610,0.0,0.0,0.0,0.0,0.0,8.63,0.41,0.0
20230104:0710,0.0,0.0,2.66,0.07,1.78,8.25,0.21,0.0
20230104:0810,840.96,92.24,84.53,2.19,9.82,8.66,0.21,0.0
20230104:0910,405.48,5.26,87.94,2.24,16.26,9.16,0.55,0.0
20230104:1010,1440.06,116.62,174.65,4.81,20.59,9.92,1.03,0.0
20230104:1110,397.8,0.0,92.31,2.32,22.39,10.71,0.9,0.0
20230104:1210,521.34,4.69,111.74,2.84,21.44,11.52,0.97,0.0
20230104:1310,1336.86,121.12,152.36,4.2,17.86,12.11,1.31,0.0
20230104:1410,399.96,18.31,74.83,1.92,12.03,12.14,1.38,0.0
20230104:1510,64.62,5.85,18.35,0.47,4.43,11.87,1.1,0.0
20230104:1610,0.0,0.0,0.0,0.0,0.0,11.19,1.38,0.0
20230104:1710,0.0,0.0,0.0,0.0,0.0,10.08,1.59,0.0
20230104:1810,0.0,0.0,0.0,0.0,0.0,9.37,1.45,0.0
20230104:1910,0.0,0.0,0.0,0.0,0.0,9.1,1.31,0.0
20230104:2010,0.0,0.0,0.0,0.0,0.0,8.49,1.31,0.0
20230104:2110,0.0,0.0,0.0,0.0,0.0,7.81,1.59,0.0
20230104:2210,0.0,0.0,0.0,0.0,0.0,7.23,1.79,0.0
20230104:2310,0.0,0.0,0.0,0.0,0.0,6.61,1.93,0.0
20230105:0010,0.0,0.0,0.0,0.0,0.0,6.46,1.93,0.0
20230105:0110,0.0,0.0,0.0,0.0,0.0,6.32,2.07,0.0
20230105:0210,0.0,0.0,0.0,0.0,0.0,6.12,2.14,0.0
20230105:0310,0.0,0.0,0.0,0.0,0.0,6.08,2.0,0.0
20230105:0410,0.0,0.0,0.0,0.0,0.0,5.61,1.93,0.0
20230105:0510,0.0,0.0,0.0,0.0,0.0,5.25,1.79,0.0
20230105:0610,0.0,0.0,0.0,0.0,0.0,5.09,1.72,0.0
20230105:0710,4.08,0.0,7.1,0.18,1.8,5.46,1.38,0.0
20230105:0810,301.98,13.6,58.72,1.5,9.86,6.36,1.38,0.0
20230105:0910,579.18,20.96,104.65,2.7,16.32,8.49,1.52,0.0
20230105:1010,843.66,33.2,142.94,3.73,20.67,9.67,1.59,0.0
20230105:1110,1189.68,68.91,174.65,4.67,22.49,10.98,1.31,0.0
20230105:1210,3074.22,462.07,181.1,7.13,21.56,12.26,1.38,0.0
20230105:1310,3106.32,529.62,125.09,6.33,17.99,12.9,1.24,0.0
20230105:1410,2333.52,390.25,95.66,4.02,12.17,13.07,0.76,0.0
20230105:1510,759.24,130.77,37.16,1.05,4.58,12.73,0.69,0.0
20230105:1610,0.0,0.0,0.0,0.0,0.0,11.41,1.52,0.0
20230105:1710,0.0,0.0,0.0,0.0,0.0,9.89,1.79,0.0
20230105:1810,0.0,0.0,0.0,0.0,0.0,8.66,1.79,0.0
20230105:1910,0.0,0.0,0.0,0.0,0.0,7.78,2.0,0.0
20230105:2010,0.0,0.0,0.0,0.0,0.0,6.9,1.72,0.0
20230105:2110,0.0,0.0,0.0,0.0,0.0,6.23,1.45,0.0
20230105:2210,0.0,0.0,0.0,0.0,0.0,6.13,1.38,0.0
20230105:2310,0.0,0.0,0.0,0.0,0.0,5.5,1.52,0.0
20230106:0010,0.0,0.0,0.0,0.0,0.0,5.31,1.52,0.0
20230106:0110,0.0,0.0,0.0,0.0,0.0,4.97,1.52,0.0
20230106:0210,0.0,0.0,0.0,0.0,0.0,4.97,1.45,0.0
20230106:0310,0.0,0.0,0.0,0.0,0.0,4.87,1.38,0.0
20230106:0410,0.0,0.0,0.0,0.0,0.0,4.82,1.31,0.0
20230106:0510,0.0,0.0,0.0,0.0,0.0,4.56,1.31,0.0
20230106:0610,0.0,0.0,0.0,0.0,0.0,4.86,1.1,0.0
20230106:0710,0.0,0.0,2.66,0.07,1.83,6.07,0.83,0.0
20230106:0810,326.82,16.9,60.32,1.54,9.91,6.44,0.69,0.0
20230106:0910,443.4,7.83,91.99,2.35,16.39,7.65,0.62,0.0
20230106:1010,363.96,0.0,85.21,2.15,20.76,9.06,0.48,0.0
20230106:1110,412.44,0.0,94.97,2.39,22.6,10.12,0.55,0.0
20230106:1210,405.78,0.0,94.08,2.37,21.69,11.06,0.34,0.0
20230106:1310,397.14,2.5,90.06,2.28,18.14,11.45,0.14,0.0
20230106:1410,165.42,0.0,46.15,1.16,12.32,11.34,0.07,0.0
20230106:1510,75.18,5.53,21.06,0.54,4.73,11.0,0.21,0.0
20230106:1610,0.0,0.0,0.0,0.0,0.0,10.39,0.21,0.0
20230106:1710,0.0,0.0,0.0,0.0,0.0,9.8,0.34,0.0
20230106:1810,0.0,0.0,0.0,0.0,0.0,8.27,0.97,0.0
20230106:1910,0.0,0.0,0.0,0.0,0.0,6.97,0.34,0.0
20230106:2010,0.0,0.0,0.0,0.0,0.0,6.63,0.62,0.0
20230106:2110,0.0,0.0,0.0,0.0,0.0,5.89,0.83,0.0
20230106:2210,0.0,0.0,0.0,0.0,0.0,5.43,0.97,0.0
20230106:2310,0.0,0.0,0.0,0.0,0.0,5.4,0.9,0.0
20230107:0010,0.0,0.0,0.0,0.0,0.0,5.61,0.76,0.0
20230107:0110,0.0,0.0,0.0,0.0,0.0,5.55,0.55,0.0
20230107:0210,0.0,0.0,0.0,0.0,0.0,5.5,0.41,0.0
20230107:0310,0.0,0.0,0.0,0.0,0.0,5.52,0.21,0.0
20230107:0410,0.0,0.0,0.0,0.0,0.0,5.7,0.28,0.0
20230107:0510,0.0,0.0,0.0,0.0,0.0,5.74,0.55,0.0
20230107:0610,0.0,0.0,0.0,0.0,0.0,5.79,0.9,0.0
20230107:0710,0.0,0.0,1.78,0.04,1.86,5.53,0.69,0.0
20230107:0810,385.02,23.52,64.55,1.65,9.96,5.52,0.76,0.0
20230107:0910,480.84,10.39,96.08,2.46,16.46,6.66,0.62,0.0
20230107:1010,577.38,7.06,118.46,3.02,20.86,8.17,0.55,0.0
20230107:1110,656.64,9.12,132.17,3.38,22.72,9.36,0.41,0.0
20230107:1210,631.74,9.25,127.77,3.26,21.83,10.3,0.55,0.0
20230107:1310,747.6,32.27,126.84,3.31,18.29,10.92,1.03,0.0
20230107:1410,297.42,5.94,66.78,1.7,12.47,11.03,1.17,0.0
20230107:1510,117.36,10.75,25.42,0.65,4.89,10.82,1.17,0.0
20230107:1610,0.0,0.0,0.0,0.0,0.0,10.26,1.38,0.0
20230107:1710,0.0,0.0,0.0,0.0,0.0,9.54,1.45,0.0
20230107:1810,0.0,0.0,0.0,0.0,0.0,8.94,1.31,0.0
20230107:1910,0.0,0.0,0.0,0.0,0.0,8.14,0.83,0.0
20230107:2010,0.0,0.0,0.0,0.0,0.0,8.24,0.69,0.0
20230107:2110,0.0,0.0,0.0,0.0,0.0,7.53,0.97,0.0
20230107:2210,0.0,0.0,0.0,0.0,0.0,7.25,0.9,0.0
20230107:2310,0.0,0.0,0.0,0.0,0.0,7.23,0.69,0.0
20230108:0010,0.0,0.0,0.0,0.0,0.0,7.65,0.41,0.0
20230108:0110,0.0,0.0,0.0,0.0,0.0,7.62,0.21,0.0
20230108:0210,0.0,0.0,0.0,0.0,0.0,7.51,0.48,0.0
20230108:0310,0.0,0.0,0.0,0.0,0.0,7.83,0.83,0.0
20230108:0410,0.0,0.0,0.0,0.0,0.0,7.6,1.1,0.0
20230108:0510,0.0,0.0,0.0,0.0,0.0,7.38,0.97,0.0
20230108:0610,0.0,0.0,0.0,0.0,0.0,7.57,1.17,0.0
20230108:0710,0.0,0.0,1.78,0.04,1.91,6.87,1.24,0.0
20230108:0810,147.3,0.0,41.72,1.05,10.02,7.76,1.52,0.0
20230108:0910,475.92,10.34,96.06,2.46,16.54,9.15,1.72,0.0
20230108:1010,1908.96,194.55,189.44,5.52,20.97,11.11,2.14,0.0
20230108:1110,674.1,11.35,134.37,3.44,22.85,12.36,2.28,0.0
20230108:1210,357.12,0.0,85.21,2.15,21.97,13.57,2.34,0.0
20230108:1310,262.98,0.0,66.57,1.68,18.44,13.75,2.0,0.0
20230108:1410,25.98,0.0,14.2,0.36,12.63,13.22,2.0,0.0
20230108:1510,77.16,5.23,21.93,0.56,5.05,12.61,2.28,0.0
20230108:1610,0.0,0.0,0.0,0.0,0.0,12.21,2.62,0.0
20230108:1710,0.0,0.0,0.0,0.0,0.0,11.9,3.03,0.0
20230108:1810,0.0,0.0,0.0,0.0,0.0,11.74,3.31,0.0
20230108:1910,0.0,0.0,0.0,0.0,0.0,9.85,3.38,0.0
20230108:2010,0.0,0.0,0.0,0.0,0.0,10.43,3.38,0.0
20230108:2110,0.0,0.0,0.0,0.0,0.0,10.86,3.24,0.0
20230108:2210,0.0,0.0,0.0,0.0,0.0,11.28,3.17,0.0
20230108:2310,0.0,0.0,0.0,0.0,0.0,11.34,3.17,0.0
20230109:0010,0.0,0.0,0.0,0.0,0.0,11.49,3.1,0.0
20230109:0110,0.0,0.0,0.0,0.0,0.0,11.2,1.59,0.0
20230109:0210,0.0,0.0,0.0,0.0,0.0,10.42,1.1,0.0
20230109:0310,0.0,0.0,0.0,0.0,0.0,9.59,2.69,0.0
20230109:0410,0.0,0.0,0.0,0.0,0.0,8.62,2.97,0.0
20230109:0510,0.0,0.0,0.0,0.0,0.0,8.1,2.9,0.0
20230109:0610,0.0,0.0,0.0,0.0,0.0,7.88,2.69,0.0
20230109:0710,0.0,0.0,1.78,0.04,1.95,8.13,2.34,0.0
20230109:0810,109.56,0.0,33.73,0.85,10.09,8.18,3.03,0.0
20230109:0910,121.74,0.0,36.39,0.92,16.63,8.44,2.83,0.0
20230109:1010,612.3,9.33,122.45,3.13,21.08,8.78,2.76,0.0
20230109:1110,247.02,0.0,62.13,1.56,22.99,9.23,3.72,0.0
20230109:1210,1077.96,55.0,163.98,4.36,22.13,9.93,4.14,0.0
20230109:1310,1117.14,78.47,147.64,3.98,18.6,9.92,4.34,0.0
20230109:1410,116.64,0.0,35.5,0.89,12.8,10.11,3.86,0.0
20230109:1510,816.9,132.17,43.24,1.21,5.22,10.2,3.79,0.0
20230109:1610,0.0,0.0,0.0,0.0,0.0,9.44,3.66,0.0
20230109:1710,0.0,0.0,0.0,0.0,0.0,8.71,3.66,0.0
20230109:1810,0.0,0.0,0.0,0.0,0.0,8.08,3.45,0.0
20230109:1910,0.0,0.0,0.0,0.0,0.0,8.1,3.52,0.0
20230109:2010,0.0,0.0,0.0,0.0,0.0,7.6,2.62,0.0
20230109:2110,0.0,0.0,0.0,0.0,0.0,7.04,0.97,0.0
20230109:2210,0.0,0.0,0.0,0.0,0.0,5.5,1.52,0.0
20230109:2310,0.0,0.0,0.0,0.0,0.0,4.2,2.07,0.0
20230110:0010,0.0,0.0,0.0,0.0,0.0,4.03,2.41,0.0
20230110:0110,0.0,0.0,0.0,0.0,0.0,4.23,2.69,0.0
20230110:0210,0.0,0.0,0.0,0.0,0.0,4.33,3.03,0.0
20230110:0310,0.0,0.0,0.0,0.0,0.0,4.53,3.38,0.0
20230110:0410,0.0,0.0,0.0,0.0,0.0,4.78,3.86,0.0
20230110:0510,0.0,0.0,0.0,0.0,0.0,5.07,4.0,0.0
20230110:0610,0.0,0.0,0.0,0.0,0.0,5.17,4.0,0.0
20230110:0710,4.08,0.0,7.1,0.18,2.01,6.28,4.41,0.0
20230110:0810,2312.94,368.25,87.28,3.46,10.16,6.94,4.62,0.0
20230110:0910,3321.12,550.1,113.99,6.19,16.73,8.42,4.34,0.0
20230110:1010,3942.6,680.6,126.29,8.14,21.2,10.01,4.48,0.0
20230110:1110,4116.78,715.47,137.17,8.87,23.13,11.27,4.55,0.0
20230110:1210,3977.52,690.91,134.23,8.49,22.28,11.99,4.34,0.0
20230110:1310,3509.28,596.97,123.51,7.02,18.77,12.28,4.14,0.0
20230110:1410,2695.74,449.98,96.79,4.6,12.97,11.97,3.66,0.0
20230110:1510,1146.84,192.83,47.81,1.45,5.39,10.85,3.31,0.0
20230110:1610,0.0,0.0,0.0,0.0,0.0,9.13,3.31,0.0
20230110:1710,0.0,0.0,0.0,0.0,0.0,8.02,3.31,0.0
20230110:1810,0.0,0.0,0.0,0.0,0.0,7.22,3.24,0.0
20230110:1910,0.0,0.0,0.0,0.0,0.0,6.91,3.24,0.0
20230110:2010,0.0,0.0,0.0,0.0,0.0,6.58,3.38,0.0
20230110:2110,0.0,0.0,0.0,0.0,0.0,5.98,2.76,0.0
20230110:2210,0.0,0.0,0.0,0.0,0.0,5.03,2.34,0.0
20230110:2310,0.0,0.0,0.0,0.0,0.0,4.1,2.34,0.0
20230111:0010,0.0,0.0,0.0,0.0,0.0,3.1,2.0,0.0
20230111:0110,0.0,0.0,0.0,0.0,0.0,2.58,1.45,0.0
20230111:0210,0.0,0.0,0.0,0.0,0.0,2.04,1.45,0.0
20230111:0310,0.0,0.0,0.0,0.0,0.0,3.12,1.03,0.0
20230111:0410,0.0,0.0,0.0,0.0,0.0,3.51,0.76,0.0
20230111:0510,0.0,0.0,0.0,0.0,0.0,2.83,0.97,0.0
20230111:0610,0.0,0.0,0.0,0.0,0.0,1.1,1.31,0.0
20230111:0710,6.9,0.0,7.99,0.2,2.07,0.93,1.59,0.0
20230111:0810,1974.42,290.22,96.31,3.2,10.24,1.65,1.24,0.0
20230111:0910,3018.96,480.85,130.52,5.92,16.83,4.54,0.76,0.0
20230111:1010,3162.84,471.57,182.99,7.26,21.33,6.82,0.48,0.0
20230111:1110,3726.0,644.9,158.58,8.58,23.28,8.53,0.34,0.0
20230111:1210,2950.38,415.11,202.93,7.31,22.45,9.74,0.21,0.0
20230111:1310,2465.64,331.64,177.01,5.9,18.95,10.4,0.28,0.0
20230111:1410,2051.7,299.8,121.83,4.07,13.15,10.47,0.14,0.0
20230111:1510,615.54,91.39,45.49,1.18,5.56,9.96,0.34,0.0
20230111:1610,0.0,0.0,0.0,0.0,0.0,7.94,1.1,0.0
20230111:1710,0.0,0.0,0.0,0.0,0.0,5.96,1.45,0.0
20230111:1810,0.0,0.0,0.0,0.0,0.0,5.22,1.38,0.0
20230111:1910,0.0,0.0,0.0,0.0,0.0,5.67,1.03,0.0
20230111:2010,0.0,0.0,0.0,0.0,0.0,5.63,0.9,0.0
20230111:2110,0.0,0.0,0.0,0.0,0.0,3.87,1.45,0.0
20230111:2210,0.0,0.0,0.0,0.0,0.0,3.88,1.45,0.0
20230111:2310,0.0,0.0,0.0,0.0,0.0,4.46,1.03,0.0
20230112:0010,0.0,0.0,0.0,0.0,0.0,4.21,1.38,0.0
20230112:0110,0.0,0.0,0.0,0.0,0.0,4.35,1.31,0.0
20230112:0210,0.0,0.0,0.0,0.0,0.0,4.53,1.45,0.0
20230112:0310,0.0,0.0,0.0,0.0,0.0,3.64,1.72,0.0
20230112:0410,0.0,0.0,0.0,0.0,0.0,3.01,1.38,0.0
20230112:0510,0.0,0.0,0.0,0.0,0.0,3.14,1.17,0.0
20230112:0610,0.0,0.0,0.0,0.0,0.0,2.64,1.17,0.0
20230112:0710,4.32,0.0,7.1,0.18,2.14,1.81,1.31,0.0
20230112:0810,1010.64,109.91,93.17,2.46,10.33,2.53,1.1,0.0
20230112:0910,1797.78,197.27,157.59,4.6,16.94,5.68,1.31,0.0
20230112:1010,3445.38,549.68,158.9,7.55,21.46,7.92,1.86,0.0
20230112:1110,3635.94,586.02,172.21,8.31,23.43,9.43,2.0,0.0
20230112:1210,2313.3,257.2,209.4,6.41,22.62,10.4,1.86,0.0
20230112:1310,2147.34,254.87,178.3,5.5,19.13,10.93,1.93,0.0
20230112:1410,2581.32,429.51,98.4,4.58,13.33,11.01,1.86,0.0
20230112:1510,430.5,56.16,44.08,1.07,5.75,10.42,1.31,0.0
20230112:1610,0.0,0.0,0.0,0.0,0.0,9.03,1.79,0.0
20230112:1710,0.0,0.0,0.0,0.0,0.0,7.21,1.86,0.0
20230112:1810,0.0,0.0,0.0,0.0,0.0,5.6,1.79,0.0
20230112:1910,0.0,0.0,0.0,0.0,0.0,4.8,1.45,0.0
20230112:2010,0.0,0.0,0.0,0.0,0.0,4.24,1.38,0.0
20230112:2110,0.0,0.0,0.0,0.0,0.0,4.81,0.97,0.0
20230112:2210,0.0,0.0,0.0,0.0,0.0,5.06,0.62,0.0
20230112:2310,0.0,0.0,0.0,0.0,0.0,4.59,0.76,0.0
20230113:0010,0.0,0.0,0.0,0.0,0.0,4.24,0.69,0.0
20230113:0110,0.0,0.0,0.0,0.0,0.0,3.74,0.76,0.0
20230113:0210,0.0,0.0,0.0,0.0,0.0,3.7,0.62,0.0
20230113:0310,0.0,0.0,0.0,0.0,0.0,3.66,0.14,0.0
20230113:0410,0.0,0.0,0.0,0.0,0.0,2.97,0.62,0.0
20230113:0510,0.0,0.0,0.0,0.0,0.0,2.65,0.69,0.0
20230113:0610,0.0,0.0,0.0,0.0,0.0,2.71,0.55,0.0
20230113:0710,6.78,0.0,7.99,0.2,2.21,1.92,0.83,0.0
20230113:0810,400.92,22.42,67.87,1.74,10.42,3.17,0.41,0.0
20230113:0910,787.08,40.21,122.53,3.22,17.06,4.95,0.41,0.0
20230113:1010,1995.6,201.33,197.3,5.79,21.6,6.98,0.62,0.0
20230113:1110,264.48,0.0,65.68,1.65,23.59,8.81,0.48,0.0
20230113:1210,767.64,17.95,144.69,3.73,22.8,9.7,0.28,0.0
20230113:1310,696.0,23.88,125.6,3.26,19.31,10.45,0.07,0.0
20230113:1410,1941.9,274.01,124.67,4.05,13.52,10.74,0.14,0.0
20230113:1510,975.42,150.3,57.91,1.48,5.93,10.59,0.48,0.0
20230113:1610,0.0,0.0,0.0,0.0,0.0,9.84,0.97,0.0
20230113:1710,0.0,0.0,0.0,0.0,0.0,8.35,1.1,0.0
20230113:1810,0.0,0.0,0.0,0.0,0.0,7.35,1.24,0.0
20230113:1910,0.0,0.0,0.0,0.0,0.0,7.17,1.03,0.0
20230113:2010,0.0,0.0,0.0,0.0,0.0,7.15,0.97,0.0
20230113:2110,0.0,0.0,0.0,0.0,0.0,6.93,0.97,0.0
20230113:2210,0.0,0.0,0.0,0.0,0.0,5.92,1.03,0.0
20230113:2310,0.0,0.0,0.0,0.0,0.0,5.0,1.31,0.0
20230114:0010,0.0,0.0,0.0,0.0,0.0,4.21,1.59,0.0
20230114:0110,0.0,0.0,0.0,0.0,0.0,3.38,1.45,0.0
20230114:0210,0.0,0.0,0.0,0.0,0.0,2.86,1.24,0.0
20230114:0310,0.0,0.0,0.0,0.0,0.0,2.43,1.38,0.0
20230114:0410,0.0,0.0,0.0,0.0,0.0,2.1,1.1,0.0
20230114:0510,0.0,0.0,0.0,0.0,0.0,2.22,0.83,0.0
20230114:0610,0.0,0.0,0.0,0.0,0.0,1.49,1.1,0.0
20230114:0710,15.3,0.0,10.65,0.27,2.29,1.24,0.83,0.0
20230114:0810,2169.3,336.27,90.58,3.44,10.52,1.63,0.9,0.0
20230114:0910,3198.72,536.89,114.18,6.24,17.18,4.9,0.97,0.0
20230114:1010,3667.14,630.26,138.54,8.02,21.75,7.53,1.17,0.0
20230114:1110,3979.86,723.29,130.34,9.03,23.76,9.29,1.31,0.0
20230114:1210,3735.12,649.17,146.41,8.47,22.98,10.42,1.38,0.0
20230114:1310,3379.32,583.28,124.47,7.11,19.5,11.04,1.66,0.0
20230114:1410,2442.96,390.04,109.63,4.56,13.71,11.17,1.59,0.0
20230114:1510,796.26,115.27,56.6,1.41,6.12,10.61,1.59,0.0
20230114:1610,0.0,0.0,0.0,0.0,0.0,8.91,2.21,0.0
20230114:1710,0.0,0.0,0.0,0.0,0.0,7.37,2.34,0.0
20230114:1810,0.0,0.0,0.0,0.0,0.0,6.43,2.28,0.0
20230114:1910,0.0,0.0,0.0,0.0,0.0,5.89,2.14,0.0
20230114:2010,0.0,0.0,0.0,0.0,0.0,5.19,1.86,0.0
20230114:2110,0.0,0.0,0.0,0.0,0.0,4.57,1.59,0.0
20230114:2210,0.0,0.0,0.0,0.0,0.0,4.32,1.24,0.0
20230114:2310,0.0,0.0,0.0,0.0,0.0,3.91,1.1,0.0
20230115:0010,0.0,0.0,0.0,0.0,0.0,4.57,0.55,0.0
20230115:0110,0.0,0.0,0.0,0.0,0.0,3.19,1.03,0.0
20230115:0210,0.0,0.0,0.0,0.0,0.0,3.02,0.97,0.0
20230115:0310,0.0,0.0,0.0,0.0,0.0,3.66,0.55,0.0
20230115:0410,0.0,0.0,0.0,0.0,0.0,3.53,0.28,0.0
20230115:0510,0.0,0.0,0.0,0.0,0.0,3.43,0.28,0.0
20230115:0610,0.0,0.0,0.0,0.0,0.0,3.5,0.14,0.0
20230115:0710,0.0,0.0,1.78,0.04,2.38,3.47,0.07,0.0
20230115:0810,67.38,0.0,23.96,0.6,10.63,4.12,0.14,0.0
20230115:0910,149.04,0.0,41.72,1.05,17.31,5.3,0.55,0.0
20230115:1010,209.76,0.0,54.14,1.36,21.9,6.07,0.97,0.0
20230115:1110,405.78,0.0,92.31,2.32,23.94,6.67,0.9,0.0
20230115:1210,217.44,0.0,55.92,1.41,23.17,7.22,0.9,0.0
20230115:1310,344.34,0.0,80.77,2.03,19.7,7.31,0.9,0.0
20230115:1410,177.54,0.0,47.93,1.21,13.91,7.56,1.17,0.0
20230115:1510,47.58,0.0,19.53,0.49,6.32,7.51,1.31,0.0
20230115:1610,0.0,0.0,0.0,0.0,0.0,7.28,1.79,0.0
